gene_id	gene_name	log2FoldChange	log2CPM	baseMean	description
LOC101278190	BRWD3	1.45	4.59	62.85	bromodomain and WD repeat domain containing 3
LOC101276313	ASCC3	1.7	5.69	140.94	activating signal cointegrator 1 complex subunit 3
LOC101275541	CRLF1	-3.34	4.85	73.93	cytokine receptor like factor 1
LOC101285113	MRC1	2.71	4.56	69.76	mannose receptor C-type 1
LOC101272981	ADAMTS1	-1.44	6.66	270.9	ADAM metallopeptidase with thrombospondin type 1 motif 1
LOC101274017	TRIM56	-1.55	6.52	242.15	tripartite motif containing 56
LOC101280102	CAPZA1	2.07	4.58	64.94	capping actin protein of muscle Z-line subunit alpha 1
LOC101290260	CCDC86	-1.61	5.3	105.08	coiled-coil domain containing 86
LOC101288160	HID1	-2	6.36	215.44	HID1 domain containing
LOC101272695	STARD8	-1.58	5.23	97.43	StAR related lipid transfer domain containing 8
LOC101285101	RACGAP1	3.19	3.37	27.97	Rac GTPase activating protein 1
LOC101289640	PDE3A	-1.51	5.9	161.95	phosphodiesterase 3A
LOC101271316	ZNF579	-1.63	4.18	47.94	zinc finger protein 579
LOC101273539	MMP28	-2.31	5.56	134.26	matrix metallopeptidase 28
LOC101286404	S1PR1	-2.11	6.68	267.04	sphingosine-1-phosphate receptor 1
LOC101280077	FREM1	2.04	4.68	70.43	FRAS1 related extracellular matrix 1
LOC101279571	AMIGO2	-2.16	5.07	89.1	adhesion molecule with Ig like domain 2
LOC101271933	LPCAT4	-1.46	4.94	81.89	lysophosphatidylcholine acyltransferase 4
LOC101277853	MAP4K4	-1.41	9.09	1474.13	mitogen-activated protein kinase kinase kinase kinase 4
LOC101275223	SMTN	-1.62	6.47	233.37	smoothelin
LOC101286986	SIGIRR	-1.66	4.81	75.05	single Ig and TIR domain containing
LOC101272426	PPP1R18	-1.16	6.47	237.68	protein phosphatase 1 regulatory subunit 18
C3H19orf25	C3H19orf25	-1.95	6.39	238.82	chromosome 3 C19orf25 homolog
LOC117202671	LOC117202671	1.9	5.88	162.43	histone H4
LOC101271210	TERF1	-1.52	5.61	130.95	telomeric repeat binding factor 1
LOC125961915	LOC125961915	-3.07	2.86	20.3	translation initiation factor IF-2-like
LOC101277712	EFCAB6	4.78	2.41	15.15	EF-hand calcium binding domain 6
LOC101289869	LMO7	2.97	4.22	50.43	LIM domain 7
LOC101271393	TMOD2	1.51	4.66	94.77	tropomodulin 2
LOC101272761	SOGA1	-1.73	8.23	809.74	suppressor of glucose, autophagy associated 1
LOC101277578	CUX1	-1.23	6.86	294.25	cut like homeobox 1
LOC101280145	ARHGEF10L	-1.53	6.86	304.85	Rho guanine nucleotide exchange factor 10 like
LOC117198529	LOC117198529	2.86	3.54	30.66	histone H4
LOC101275274	RAB2A	1.85	5.42	131.41	RAB2A, member RAS oncogene family
LOC101287639	IZUMO1	-1.48	5.48	118.87	izumo sperm-egg fusion 1
LOC101271285	MTHFD2	2.22	4.93	88.95	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
LOC101276554	CRIP2	-1.5	8.33	787.68	cysteine rich protein 2
LOC101277729	APLNR	-1.8	6.02	172.2	apelin receptor
LOC101278837	TDRD3	1.82	4.51	63.63	tudor domain containing 3
LOC101277589	FLNC	-1.84	7.98	651.41	filamin C
LOC101269696	GNA11	-1.49	6.31	210.59	G protein subunit alpha 11
LOC101273386	NR4A1	-1.5	5.65	124.4	nuclear receptor subfamily 4 group A member 1
LOC101279116	CTIF	-1.19	5.97	167.38	cap binding complex dependent translation initiation factor
TLNRD1	TLNRD1	-1.72	4.68	68.49	talin rod domain containing 1
LOC101271370	CENPF	2.89	5.01	90.67	centromere protein F
LOC101277526	TSSC4	-1.69	6.09	139.79	tumor suppressing subtransferable candidate 4
LOC101281603	PDGFB	-1.98	5.43	129.48	platelet derived growth factor subunit B
LOC101279780	SDC3	-1.36	5.24	139.09	syndecan 3
LOC101284826	CD93	-2.37	6.75	280.04	CD93 molecule
LOC101270247	NR2F1	-1.61	4.47	59.84	nuclear receptor subfamily 2 group F member 1
LOC101286106	ALDH1L2	1.38	6.64	259.17	aldehyde dehydrogenase 1 family member L2
LOC101275745	MICAL3	-1.66	7.75	586.92	microtubule associated monooxygenase, calponin and LIM domain containing 3
LOC101283410	TMEM204	-2.01	3.62	33.17	transmembrane protein 204
LOC101288467	ERI2	2.38	3.67	34.69	ERI1 exoribonuclease family member 2
LOC101272217	DOCK10	3.16	4.45	57.84	dedicator of cytokinesis 10
LOC101287985	LOC101287985	2.53	2.74	15.71	cytochrome P450 2J2
LOC101276197	TNK2	-1.74	7.19	388.38	tyrosine kinase non receptor 2
LOC101289148	TLR9	-1.08	6.23	185.29	twinfilin-2
LOC101289262	USHBP1	-1.84	4.9	73.02	USH1 protein network component harmonin binding protein 1
LOC101287334	SAP30L	-1.35	6	174.34	SAP30 like
LOC101286347	SPECC1	-1.34	5.53	125.87	sperm antigen with calponin homology and coiled-coil domains 1
LOC101285369	GORASP1	-1.02	7.04	376.34	golgi reassembly stacking protein 1
LOC101274227	DENND2C	1.61	4.93	80.61	DENN domain containing 2C
LOC101278244	HYDIN	1.62	5.16	100.7	HYDIN axonemal central pair apparatus protein
LOC101269621	CCT6A	1.41	5.27	103.99	chaperonin containing TCP1 subunit 6A
LOC101275372	A4GALT	-1.67	5.57	126.58	alpha 1,4-galactosyltransferase (P blood group)
LOC101281478	KSR1	-1.81	6.23	198.68	kinase suppressor of ras 1
LOC101280550	PTPRU	-1.41	6.08	176.01	protein tyrosine phosphatase receptor type U
LOC101280583	THSD1	-1.31	5.74	148	thrombospondin type 1 domain containing 1
LOC101290106	UVSSA	-1.55	7.15	380.71	UV stimulated scaffold protein A
LOC101271897	KLHDC8B	-1.65	4.02	44.01	kelch domain containing 8B
LOC101272784	MRGPRF	-1.53	6.7	277.06	mas-related G-protein coupled receptor member F
LOC101287445	OGN	2.03	5.36	123.73	osteoglycin
LOC101290361	GOLPH3L	1.68	4.15	50.96	golgi phosphoprotein 3 like
LOC101280233	COL4A1	-2.03	9.62	2050.15	collagen type IV alpha 1 chain
LOC101274852	FBRSL1	-1.53	7.25	404.16	fibrosin like 1
LOC101282553	PHF1	-1.44	6.53	243.13	PHD finger protein 1
LOC101284578	NUAK1	-1.8	6.74	298.95	NUAK family kinase 1
LOC101285139	KIAA1549L	3.81	3.34	27.43	KIAA1549 like
LOC101269624	FMO4	2.05	4.04	48.03	flavin containing dimethylaniline monoxygenase 4
ABRAXAS1	ABRAXAS1	2.14	3.52	24.45	abraxas 1, BRCA1 A complex subunit
LOC101270578	EXPH5	2.33	5.88	157.83	exophilin 5
LOC101277081	Oror-DRA	3.67	3.83	43.17	HLA class II histocompatibility antigen, DR alpha chain
LOC101279413	TNNT3	-3.1	4.33	55.2	troponin T3, fast skeletal type
LOC101273817	TBKBP1	-1.63	5.74	139.67	TBK1 binding protein 1
LOC101288140	MAMSTR	-1.8	5.16	114.69	MEF2 activating motif and SAP domain containing transcriptional regulator
LOC101269272	SLC7A8	2.65	5.57	130.41	solute carrier family 7 member 8
LOC101278918	SYDE1	-1.65	5.62	131.35	synapse defective Rho GTPase homolog 1
LOC101280593	MOB2	-1.39	5.3	107.36	MOB kinase activator 2
LOC101283487	UCHL1	-1.58	5.59	126.71	ubiquitin C-terminal hydrolase L1
LOC101277141	SSX2IP	1.96	4.24	52.56	SSX family member 2 interacting protein
LOC101284377	MMP15	-2.23	4.15	47.98	matrix metallopeptidase 15
LOC125960991	LOC125960991	-2.23	3.18	23.96	translation initiation factor IF-2-like
LOC101283736	MAD1L1	-1.23	6.47	239.29	mitotic arrest deficient 1 like 1
LOC101275510	RABGAP1L	1.26	5.71	149.14	RAB GTPase activating protein 1 like
LOC101288773	FASTKD2	2.21	2.95	18.79	FAST kinase domains 2
LOC101272641	LRRFIP1	-1.25	7.23	390.26	LRR binding FLII interacting protein 1
LOC125963842	LOC125963842	4.37	2.18	13.59	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit-like
LOC101271682	SS18	1.68	4.55	70.07	SS18 subunit of BAF chromatin remodeling complex
LOC101280214	AIF1L	-2.24	5.97	202.74	allograft inflammatory factor 1 like
LOC101275353	ITGA5	-1.63	7.51	479.18	integrin subunit alpha 5
LOC101277468	PATJ	1.98	5.99	174.2	PATJ crumbs cell polarity complex component
LOC101276996	NREP	2.58	6.46	318.84	neuronal regeneration related protein
LOC101276839	AKAP2	-1.21	7.19	402.84	PALM2 and AKAP2 fusion
LOC101283790	IDH1	1.7	5.04	95.5	isocitrate dehydrogenase (NADP(+)) 1
LOC101276748	SEMA3B	-1.67	4.16	45.19	semaphorin 3B
LOC101277192	IRGQ	-1.58	4.6	63.66	immunity related GTPase Q
LOC101273312	MFAP5	2.07	4.54	66.28	microfibril associated protein 5
LOC101280279	KERA	2.43	4.07	47.88	keratocan
LOC101280655	TYR	5.68	2.66	15.96	tyrosinase
LOC101282307	FRAT2	-1.68	3.63	34.79	FRAT regulator of WNT signaling pathway 2
LOC101273274	MAP3K10	-1.66	4.99	83.12	mitogen-activated protein kinase kinase kinase 10
LOC101281317	TBC1D12	-1.52	5.82	136.95	TBC1 domain family member 12
LOC101279445	SHE	-1.95	5.62	130.3	Src homology 2 domain containing E
LOC101280645	SPACDR	-1.4	7.13	383.09	TSC22 domain family protein 4
LOC101271374	TICAM1	-1.31	5.47	120.96	TIR domain containing adaptor molecule 1
LOC101289075	PPP1R15A	-1.42	4.98	83.22	protein phosphatase 1 regulatory subunit 15A
LOC101288593	ZNF74	-1.52	5.57	128.42	zinc finger protein 74
LOC101274563	NLRC5	-2.27	4.75	67.7	NLR family CARD domain containing 5
LOC101273214	SAFB2	-1.38	7.1	380.55	scaffold attachment factor B2
LOC101290043	IRF2BP2	-1.49	7.78	578.9	interferon regulatory factor 2 binding protein 2
LOC101273648	HIP1R	-1.72	7.56	506.3	huntingtin interacting protein 1 related
LOC101271749	LOC101271749	-1.42	8.87	1162.64	BOLA class I histocompatibility antigen, alpha chain BL3-7-like
AJM1	AJM1	-2.27	3.58	33.82	apical junction component 1 homolog
LOC101281868	LRRN4CL	-1.39	5.92	165.37	LRRN4 C-terminal like
LOC101271474	CCDC71	-1.52	5.47	114.45	coiled-coil domain containing 71
LOC101284493	ZNF263	-1.07	5.07	89.45	zinc finger protein 263
LOC101288757	ATN1	-1.31	7.68	541.69	atrophin 1
LOC101281926	ING4	2.21	3.47	29.7	inhibitor of growth family member 4
LOC101275629	LOC101275629	-1.47	5.56	126.45	small G protein signaling modulator 1
LOC101280415	LDLRAD4	-1.67	5.34	91.64	low density lipoprotein receptor class A domain containing 4
LOC101279366	SNAPC4	-1.54	6.32	211.31	small nuclear RNA activating complex polypeptide 4
LOC101280083	JUND	-1.32	7.67	556.61	JunD proto-oncogene, AP-1 transcription factor subunit
LOC101274517	ZBTB17	-1.78	6.08	178.47	zinc finger and BTB domain containing 17
LOC101289427	RAD50	1.39	5.12	91.58	RAD50 double strand break repair protein
LOC101275948	OSBPL5	-1.52	7.6	519.96	oxysterol binding protein like 5
LOC101283178	ADCY5	-2.06	5.85	161.63	adenylate cyclase 5
LOC101275197	PIBF1	2.07	3.77	40.25	progesterone immunomodulatory binding factor 1
LOC101284428	MAP1S	-1.44	5.64	131.83	microtubule associated protein 1S
LOC101288092	JADE2	-1.35	7.59	524.49	jade family PHD finger 2
LOC101278935	RGS19	-1.6	4.46	62.34	regulator of G protein signaling 19
LOC101284150	MORF4L2	1.41	5.95	169.91	mortality factor 4 like 2
LOC117202317	LOC117202317	-1.7	4.57	58.74	collagen alpha-1(I) chain-like
LOC101288154	IRX1	-1.98	6.45	238.38	iroquois homeobox 1
LOC101273403	WDR53	2.78	2.69	16.7	WD repeat domain 53
LOC101288824	KIAA2013	-1.23	6.42	228.17	KIAA2013 ortholog
LOC101274434	LOC101274434	4.43	3.03	20.33	histone H2B type 1-J-like
LOC101281959	LOC101281959	5.11	2.41	12.09	histone H3.1
LOC101286790	SRP72	1.45	5.23	107.12	signal recognition particle 72
LOC101278561	CCDC154	-2.42	4.81	73.69	coiled-coil domain containing 154
LOC101290294	FMO3	1.99	7.06	388.62	flavin containing dimethylaniline monoxygenase 3
LOC101286172	PHC2	-1.19	7.04	352.67	polyhomeotic homolog 2
LOC101273593	CCDC88A	1.63	5.98	179.12	coiled-coil domain containing 88A
LOC101275210	BRF1	-1.17	6.76	296.13	BRF1 RNA polymerase III transcription initiation factor subunit
LOC101282784	SLC7A11	2.48	4.66	66.38	solute carrier family 7 member 11
LOC101274080	RPGRIP1L	2.59	3.09	21.38	RPGRIP1 like
LOC101279691	MRPS6	-1.25	4.5	56.39	mitochondrial ribosomal protein S6
LOC101272689	LOC101272689	4.13	3.53	28.46	histone H2A type 1-J
LOC101276036	TICRR	4.88	3.2	30.39	TOPBP1 interacting checkpoint and replication regulator
LOC101288571	EGLN2	-1.47	6.26	203.11	egl-9 family hypoxia inducible factor 2
LOC101284713	TAF4	-1.1	5.87	156.56	TATA-box binding protein associated factor 4
LOC101274414	CACTIN	-1.47	5.93	161.57	cactin, spliceosome C complex subunit
LOC101270759	ASPM	3.02	4.75	70.61	assembly factor for spindle microtubules
CFAP410	CFAP410	-1.15	5.36	102.29	cilia and flagella associated protein 410
LOC125963770	LOC125963770	-2.41	3.54	36.35	translation initiation factor IF-2-like
LOC101282395	SHB	-1.47	6.78	235.09	SH2 domain containing adaptor protein B
LOC101273413	CENPU	1.93	3.61	42.27	centromere protein U
LOC101287426	FAM151B	2.12	3.52	36.38	family with sequence similarity 151 member B
LOC101275392	ZGPAT	-1.38	6.02	172.77	zinc finger CCCH-type and G-patch domain containing
LOC101282037	SCN1B	-2.18	3.99	41.73	sodium voltage-gated channel beta subunit 1
LOC101284188	PIDD	-1.28	6.25	201.22	p53-induced death domain protein 1
LOC101288322	CDH1	3.28	5.38	115.43	cadherin 1
LOC101272233	MSH2	1.93	3.48	30.87	mutS homolog 2
LOC101283030	LOC101283030	2.21	3.54	31.03	low affinity immunoglobulin gamma Fc region receptor II
LOC101278384	PWWP2B	-1.66	4.84	91.17	PWWP domain containing 2B
LOC101288262	SNED1	-1.88	7.37	430.96	sushi, nidogen and EGF like domains 1
LOC101279910	FAM20A	-1.81	5.49	119.96	FAM20A golgi associated secretory pathway pseudokinase
LOC101271226	LAMB2	-1.59	8.87	1225.59	laminin subunit beta 2
LOC101286548	NCKAP5L	-1.37	7.1	368.94	NCK associated protein 5 like
LOC101285864	CEP250	-1.5	7.43	456.94	centrosomal protein 250
LOC101278683	TCEA2	-1.53	5.43	117.57	transcription elongation factor A2
LOC101270087	DCUN1D5	-1.44	4.21	49.43	defective in cullin neddylation 1 domain containing 5
LOC101279121	PTPRC	2.71	2.87	19.41	protein tyrosine phosphatase receptor type C
LOC101277188	RRBP1	-1.44	8.66	1075.71	ribosome binding protein 1
LOC101275214	SLC26A9	3.42	4.63	69.6	solute carrier family 26 member 9
LOC101276433	PLEKHG2	-1.16	5.46	119.09	pleckstrin homology and RhoGEF domain containing G2
LOC101284779	USP8	1.51	5.15	109.52	ubiquitin specific peptidase 8
LOC101276270	SIRT7	-1.58	5.83	150.69	sirtuin 7
LOC101272058	ZNF628	-1.34	5.76	141.3	zinc finger protein 628
LOC101289041	LTBP3	-1.22	7.91	636.29	latent transforming growth factor beta binding protein 3
LOC101285432	MICALL2	-1.58	7.71	551.84	MICAL like 2
LOC101286994	MYH9	-1.47	10.66	4169.4	myosin heavy chain 9
LOC101269612	STK11	-1.39	6.43	226.8	serine/threonine kinase 11
LOC101279486	TBC1D8	-1.39	6.54	215.68	TBC1 domain family member 8
LOC101289827	HSPB8	-1.63	3.77	39.62	heat shock protein family B (small) member 8
LOC101289917	TMEM44	-1.92	4.47	57.57	transmembrane protein 44
LOC101282637	MFSD12	-1.52	5.32	123.14	major facilitator superfamily domain containing 12
LOC101281159	CAPN7	1.49	5.2	107.35	calpain 7
LOC101273327	HECA	-0.95	6	268.33	hdc homolog, cell cycle regulator
LOC101271213	SSH1	-1.35	6.32	239.31	slingshot protein phosphatase 1
LOC101277584	SV2C	5.96	2.46	17.05	synaptic vesicle glycoprotein 2C
LOC101269437	MAP3K11	-1.55	6.24	200.31	mitogen-activated protein kinase kinase kinase 11
LOC101280203	PPP2R3B	-1.2	5.03	86.65	protein phosphatase 2 regulatory subunit B''beta
LOC101289346	TRPM1	5.26	7.58	550.36	transient receptor potential cation channel subfamily M member 1
LOC101281583	NOVA2	-1.83	4.52	66.32	NOVA alternative splicing regulator 2
LOC101272310	OVOL1	2.99	3.8	38.76	ovo like transcriptional repressor 1
LOC101275913	COL16A1	-1.57	9.48	1907.01	collagen type XVI alpha 1 chain
LOC101278097	NOTCH3	-1.99	9.35	1698.74	notch receptor 3
LOC101281858	YY1	-1.41	6.07	211.95	YY1 transcription factor
LOC101287376	HADHB	1.43	5.97	161.69	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta
LOC101290304	SLC12A7	-1.5	6.46	232.41	solute carrier family 12 member 7
LOC101273255	GJC1	-1.68	6.56	248.79	gap junction protein gamma 1
LOC101282180	VCAN	1.55	7.9	668.17	versican
LOC101273316	AKT1	-1.17	8.16	794.3	AKT serine/threonine kinase 1
LOC101275389	SCFD1	1.6	4.51	59.5	sec1 family domain containing 1
LOC101273926	SCRIB	-1.57	7.97	659.63	scribble planar cell polarity protein
LOC101286276	H3F3A	1.53	6.41	247.65	histone H3.3A
LOC101274275	PNP	3.56	3.1	21.14	purine nucleoside phosphorylase
LOC101273045	RELT	-1.96	5.84	152.67	RELT TNF receptor
LOC101272079	SREBF1	-1.54	6.77	294.31	sterol regulatory element binding transcription factor 1
LOC101282594	SLC27A6	3.87	3.87	36.85	solute carrier family 27 member 6
LOC101270242	DNAJC1	-1.04	5.54	128.66	DnaJ heat shock protein family (Hsp40) member C1
LOC101282321	IRF2BP1	-1.69	5.62	130.31	interferon regulatory factor 2 binding protein 1
LOC101287225	CALD1	-1.39	7.07	373.53	caldesmon 1
LOC125961814	LOC125961814	3.37	5.19	158.52	endogenous retrovirus group K member 10 Gag polyprotein-like
LOC101277962	TNKS1BP1	-1.47	8.92	1268.81	tankyrase 1 binding protein 1
LOC101280858	ARRB1	-1.6	6.46	311.13	arrestin beta 1
LOC117203549	MXRA7	-1.56	6.83	310.75	matrix remodeling associated 7
LOC101269935	PKD2	-1.41	6.52	247.42	polycystin 2, transient receptor potential cation channel
LOC101277930	INTS7	1.85	4.67	78.43	integrator complex subunit 7
NOP53	NOP53	-1.25	8.55	969.16	NOP53 ribosome biogenesis factor
LOC101269217	ENDOG	-1.94	3.58	29.27	endonuclease G
LOC101285234	DGKZ	-1.24	6.74	279.92	diacylglycerol kinase zeta
LOC101271498	FER	1.25	4.91	83.64	FER tyrosine kinase
LOC101287846	ELL2	1.37	5.63	143	elongation factor for RNA polymerase II 2
LOC101282731	GSS	2.38	3.61	32.03	glutathione synthetase
LOC101277846	TJP2	-1.29	7.02	343.32	tight junction protein 2
LOC101277743	KIF1C	-1.15	8.18	781.77	kinesin family member 1C
LOC101283189	NAGLU	-1.27	6.22	196.15	N-acetyl-alpha-glucosaminidase
LOC101289762	ARHGAP20	2.34	2.99	21.51	Rho GTPase activating protein 20
LOC101287497	UGP2	1.55	4.95	81.09	UDP-glucose pyrophosphorylase 2
LOC101275150	MAN1B1	-1.29	6.35	217.02	mannosidase alpha class 1B member 1
LOC101276190	EQTN	3.16	2.7	19.16	uncharacterized LOC101276190
LOC101273116	PLEKHM2	-1.08	7.28	343.12	pleckstrin homology and RUN domain containing M2
LOC101276844	TADA2A	1.91	3.89	38.4	transcriptional adaptor 2A
LOC101271338	SMTNL2	-1.83	4.26	50.24	smoothelin like 2
LOC101287572	ANO8	-1.48	6.15	189.13	anoctamin 8
LOC101285697	PRDM16	-1.9	4.41	51.56	PR/SET domain 16
LOC101275360	SPTLC3	5.12	2.68	15.88	serine palmitoyltransferase long chain base subunit 3
LOC101271270	PODXL	-1.73	7.24	395.64	podocalyxin like
LOC101278538	ACSBG1	3.48	2	10.51	acyl-CoA synthetase bubblegum family member 1
LOC101285586	RILP	-1.96	4.62	60.28	Rab interacting lysosomal protein
LOC101289589	TOB2	-1.13	6.76	431.89	transducer of ERBB2, 2
LOC101290068	CHAF1A	-1.11	6.29	209.74	chromatin assembly factor 1 subunit A
LOC101278707	CSNK1G2	-1.2	6.59	258.66	casein kinase 1 gamma 2
LOC125961453	LOC125961453	-3.75	2.15	11.62	taperin-like
LOC101281996	ULK1	-1.58	7.6	519.47	unc-51 like autophagy activating kinase 1
LOC101282578	LOC101282578	2.1	7.28	441.95	histone H2A type 1-C
LOC101285916	ABTB1	-1.5	6.46	232.43	ankyrin repeat and BTB domain containing 1
LOC101283812	LDLRAP1	-1.16	5.61	150.41	low density lipoprotein receptor adaptor protein 1
LOC101270533	TENM2	3.12	4.91	81.48	teneurin transmembrane protein 2
LOC101278454	HSPA4L	1.92	4.05	46.49	heat shock protein family A (Hsp70) member 4 like
LOC101282921	PLVAP	-2.48	4.74	62.78	plasmalemma vesicle associated protein
LOC101286081	GAS2L1	-1.39	6.38	220.18	growth arrest specific 2 like 1
LOC101276581	MBD3	-2.35	8.6	1079.45	methyl-CpG binding domain protein 3
LOC101282971	NEDD1	1.54	4.27	51.65	NEDD1 gamma-tubulin ring complex targeting factor
LOC101283356	LDLR	-1.28	6.55	255.35	low density lipoprotein receptor
LOC125961976	LOC125961976	6.9	1.94	11.15	immunoglobulin-like and fibronectin type III domain-containing protein 1
LOC117199220	LOC117199220	-1.45	4.27	51.95	uncharacterized LOC117199220
LOC101269214	KIT	2.92	4.04	44.97	KIT proto-oncogene, receptor tyrosine kinase
LOC101270300	AZI1	-1.5	5.64	123.32	centrosomal protein 131
LOC101280513	IFFO1	-1.51	5.94	151.36	intermediate filament family orphan 1
LOC101284456	COPS4	1.92	4.06	44.59	COP9 signalosome subunit 4
LOC101271022	NECTIN2	-1.65	5.58	124.37	nectin cell adhesion molecule 2
LOC101275104	TMEM59L	-2.41	3.91	34.74	transmembrane protein 59 like
LOC101282977	CIC	-1.31	8.06	659.92	capicua transcriptional repressor
LOC101286938	TYROBP	3.9	1.91	11.09	transmembrane immune signaling adaptor TYROBP
LOC125962060	LOC125962060	6.25	1.4	6.79	histone H2B
LOC101271695	PITPNM2	-1.3	5.9	150.5	phosphatidylinositol transfer protein membrane associated 2
LOC101276903	SRBD1	1.67	4.86	80.3	S1 RNA binding domain 1
LOC101284839	SPRED1	-1.07	6.41	231.17	sprouty related EVH1 domain containing 1
LOC117196464	LOC117196464	-2.67	4.19	77.37	uncharacterized LOC117196464
LOC101282994	PXDN	-1.29	7.75	531.04	peroxidasin
LOC101286366	FOSB	-2.24	3.76	38.74	FosB proto-oncogene, AP-1 transcription factor subunit
LOC125960359	LOC125960359	-4.16	5.1	100.37	death-inducer obliterator 1-like
LOC101279827	TTC39B	1.71	5.63	137.19	tetratricopeptide repeat domain 39B
LOC101270554	PTGER1	-2.18	3.84	48.92	prostaglandin E receptor 1
LOC101288927	CIT	2.84	4.61	67.02	citron rho-interacting serine/threonine kinase
LOC101269790	WFIKKN1	-1.68	4.27	48.3	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 1
LOC101276783	ELL	-1.34	5.69	139.78	elongation factor for RNA polymerase II
LOC101277900	POLR2E	-1.06	6.39	226.58	RNA polymerase II, I and III subunit E
LOC101287239	NCOR2	-1.16	9.44	1596.14	nuclear receptor corepressor 2
LOC101285919	GADD45B	-1.41	4.55	70.53	growth arrest and DNA damage inducible beta
LOC101271989	EPHA10	6.75	1.65	10.23	EPH receptor A10
LOC101270546	CRKL	-1.31	7	280.88	CRK like proto-oncogene, adaptor protein
LOC101271860	FANCD2	2.88	3.2	26.47	FA complementation group D2
LOC101274934	ABI1	1.45	5.32	116.18	abl interactor 1
LOC101273339	TTC7A	-1.2	7.23	340.27	tetratricopeptide repeat domain 7A
LOC101283763	DYSF	-1.59	5.67	122.41	dysferlin
LOC101276275	OCA2	3.78	4.79	72.74	OCA2 melanosomal transmembrane protein
LOC101271511	BROX	1.5	4.47	81.52	BRO1 domain and CAAX motif containing
LOC101281315	SF3B6	2.39	3.95	43.94	splicing factor 3b subunit 6
LOC101284932	LAMB3	2.05	5.21	88.96	laminin subunit beta 3
LOC101269310	CCM2L	-1.71	4.54	59.87	CCM2 like scaffold protein
LOC101281966	PILRA	3.24	2.62	16.93	paired immunoglobulin-like type 2 receptor alpha
LOC101287303	SRF	-1.25	5.92	135.82	serum response factor
LOC101278766	DHX58	-1.37	4.38	51.03	DExH-box helicase 58
LOC101285705	STARD9	-1.62	7.7	541.87	StAR related lipid transfer domain containing 9
DENND2B	DENND2B	-1.21	7.07	331.78	DENN domain containing 2B
LOC101284207	FREM2	1.94	5.43	115.31	FRAS1 related extracellular matrix 2
LOC101289999	VDAC1	1.28	5.64	222.82	voltage dependent anion channel 1
LOC101275447	RNASE6	4.78	1.76	11.25	ribonuclease A family member k6
LOC101288418	CDR2L	-1.44	6.98	347.26	cerebellar degeneration related protein 2 like
LOC101284585	ITPKB	-1.56	7.3	430.13	inositol-trisphosphate 3-kinase B
LOC101271072	LENG9	-1.64	5.09	87.97	leukocyte receptor cluster member 9
LOC101279045	ZAN	2.76	2.78	21.36	zonadhesin
LOC101275748	FLNA	-1.91	10.98	5226.9	filamin A
LOC101278140	ANAPC2	-1.3	6.16	187.78	anaphase promoting complex subunit 2
LOC101272922	SLC1A3	2.18	3.9	40.76	solute carrier family 1 member 3
LOC101283221	KLHDC2	-1.38	6.99	397.39	kelch domain containing 2
LOC101273025	RASL12	-1.41	5.94	178.76	RAS like family 12
LOC101286549	DDX1	1.15	6.02	168.07	DEAD-box helicase 1
LOC101270451	PRR24	-1.52	5.14	103.59	InaF motif containing 1
LOC101284278	TRPM7	1.42	5.81	152.84	transient receptor potential cation channel subfamily M member 7
LOC101272391	TMED8	-1.01	5.68	148.34	transmembrane p24 trafficking protein family member 8
LOC101280158	KDM2B	-1.3	6.96	311.46	lysine demethylase 2B
LOC101270708	ZYX	-1.21	7.37	368.16	zyxin
LOC101273058	SIVA1	-1.36	5.96	168.35	SIVA1 apoptosis inducing factor
LOC101277041	KIAA2026	-1.24	6.15	180.36	KIAA2026 ortholog
LOC101285572	ZNF282	-1.29	6.19	195.74	zinc finger protein 282
LOC101285307	PTGIS	-1.55	6.82	324.74	prostaglandin I2 synthase
LOC101276013	RERE	-1.34	8.2	733.09	arginine-glutamic acid dipeptide repeats
LOC101277152	KLC2	-1.48	5.6	120.07	kinesin light chain 2
LOC101279758	IGSF3	1.93	6.81	300.35	immunoglobulin superfamily member 3
LOC101271145	COL9A3	-2.77	2.89	19.99	collagen type IX alpha 3 chain
LOC101276829	TRIM26	-1.37	6.25	200.87	tripartite motif-containing protein 26
LOC101270893	PRC1	2.04	4.15	41.51	protein regulator of cytokinesis 1
LOC101276560	HAP1	-2.24	3.38	26.92	huntingtin associated protein 1
LOC101282343	MYLK	-1.43	8.14	693.26	myosin light chain kinase
LOC101272404	IGFBP3	-2.09	6.49	240.31	insulin like growth factor binding protein 3
LOC101284321	CKAP4	-1.21	6.91	287.85	cytoskeleton associated protein 4
LOC101274955	GIN1	2.56	2.4	12.04	gypsy retrotransposon integrase 1
LOC101271088	PLCD3	-1.31	5.46	146.35	phospholipase C delta 3
LOC101289097	KLF13	-1.44	6.68	546.32	KLF transcription factor 13
LOC101285147	ARHGEF2	-1.41	7.13	370.47	Rho/Rac guanine nucleotide exchange factor 2
LOC101280371	TACC1	-1.1	6.92	320.37	transforming acidic coiled-coil containing protein 1
LOC101272551	INF2	-1.71	7.49	470.42	inverted formin 2
