gene_id	gene_name	log2FoldChange	log2CPM	baseMean	description
LOC101269177	FSTL4	-6.53	2.07	18.69	follistatin like 4
LOC101282284	ASB15	-7.74	1.48	10.65	ankyrin repeat and SOCS box containing 15
LOC125961976	LOC125961976	-6.99	2.41	19.64	immunoglobulin-like and fibronectin type III domain-containing protein 1
LOC101278272	DGKK	-5.13	2.39	19.02	diacylglycerol kinase kappa
LOC125964733	LOC125964733	-6.79	2.05	16.12	filaggrin-like
LOC101279354	ANO3	-6.86	1.94	14.73	anoctamin 3
LOC101277150	NELL1	-6.58	1.11	8.31	neural EGFL like 1
LOC101286310	LOC101286310	-6.63	1.6	10.49	probable RNA-binding protein 46
LOC101285029	TBPL2	-6.68	1.61	11.12	TATA-box binding protein like 2
TEX55	TEX55	-4.08	2.94	26.75	testis expressed 55
LOC101269476	LOC101269476	-6.16	2.97	27.99	histone-lysine N-methyltransferase SETD2-like
LOC101288584	ELAVL4	-8	1.57	10.06	ELAV like RNA binding protein 4
LOC101288412	C1QL4	-8.62	2.17	16.15	complement C1q like 4
LOC101279072	TEX15	-5.1	2.41	19.41	testis expressed 15, meiosis and synapsis associated
LOC101287772	CSRNP3	-6.23	2.56	24.73	cysteine and serine rich nuclear protein 3
LOC101280543	NXPH1	-7.61	2.21	17.13	neurexophilin 1
LOC101281203	CTCFL	-7.06	1.67	11.29	CCCTC-binding factor like
LOC101277194	ACTL7B	-7.79	1.32	9.4	actin like 7B
LOC101272970	CAPN6	-6.14	2.29	17.86	calpain 6
LOC101273171	ADCY8	-7.51	1.73	15.68	adenylate cyclase 8
LOC101276371	GAD2	-8.19	1.74	12.76	glutamate decarboxylase 2
LOC101273712	NEUROD4	-8.11	1.59	13.87	neuronal differentiation 4
LOC101279238	LIPH	-6.82	1.18	8.25	lipase H
LOC101279685	SMTNL1	-6.26	2.13	15.36	smoothelin like 1
LOC101275228	GRIK2	-3.43	3.51	39.6	glutamate ionotropic receptor kainate type subunit 2
LOC101279881	TLR10	-4.64	1.86	12.93	toll like receptor 10
LOC101270015	SV2B	-5.54	2.14	16.18	synaptic vesicle glycoprotein 2B
LOC101282060	KIF6	-3.99	2.82	25.79	kinesin family member 6
LOC101274901	IGFN1	-6.05	1.44	11.8	immunoglobulin like and fibronectin type III domain containing 1
LOC101283417	FSIP1	-4.45	2.28	16.78	fibrous sheath interacting protein 1
LOC101285543	TRIM42	-7.65	1.46	9.97	tripartite motif containing 42
LOC101274884	NOX3	-7.64	1.76	11.72	NADPH oxidase 3
LOC101276078	CHRNA1	-5.7	1.77	15.22	cholinergic receptor nicotinic alpha 1 subunit
LOC101274636	LOC101274636	-6.83	1.46	10.35	keratin, type II cytoskeletal 8-like
LOC101284832	CHRM2	-8.04	1.52	11.46	cholinergic receptor muscarinic 2
LOC101277329	TRIM10	-8.13	1.56	12.12	tripartite motif-containing protein 10
LOC101279499	CNTNAP4	-6.39	2.39	19.89	contactin associated protein family member 4
LOC101280887	CHRNA7	-7.72	1.34	9.25	cholinergic receptor nicotinic alpha 7 subunit
LOC101287313	ANKFN1	-5.54	1.77	16.42	ankyrin repeat and fibronectin type III domain containing 1
LOC125960809	LOC125960809	-6.33	1.91	14.84	uncharacterized LOC125960809
LOC101274142	TRPC5	-8	1.57	10.08	transient receptor potential cation channel subfamily C member 5
LOC101282638	RBP3	-7.56	1.57	9.64	retinol binding protein 3
LOC125961665	LOC125961665	-7.14	3.02	51.13	putative POM121-like protein 1
LOC101290387	XKR7	-6.51	1.2	9.59	XK related 7
LOC101270406	ROBO2	-3.55	3.43	36.31	roundabout guidance receptor 2
LOC101278017	MYPN	-5.67	3.07	43.55	myopalladin
LOC101270685	LOC101270685	-7.02	1.23	10.38	melanoma-associated antigen B2-like
LOC101290273	ANK1	-4.12	3.3	29.84	ankyrin 1
LOC101288959	LOC101288959	-8.28	1.76	15.07	uncharacterized LOC101288959
LOC101278938	RBM46	-6.33	1.56	10.54	RNA binding motif protein 46
LOC101282336	SYT14	-3.83	3.1	31.95	synaptotagmin 14
LOC101276833	PTCHD4	-6.2	1.73	11.91	patched domain-containing protein 4
LOC101280915	DISP2	-4.66	2.35	19.3	dispatched RND transporter family member 2
LOC105748183	CHST9	-5.44	2.83	30.98	carbohydrate sulfotransferase 9
LOC101277026	SH3GL2	-5.78	1.94	14.03	SH3 domain containing GRB2 like 2, endophilin A1
LOC101277739	LOC101277739	-4.71	1.99	14.68	NF-kappa-B-activating protein-like
LOC101275396	GRM3	-6.94	1.24	9.31	glutamate metabotropic receptor 3
LOC101282001	TMC3	-7.77	1.33	11.76	transmembrane channel like 3
LOC101270796	KRT4	-7.29	1.51	10.02	keratin 4
LOC101283246	DNAI2	-6.33	1.65	11.18	dynein axonemal intermediate chain 2
LOC101289295	NR2E1	-4.51	1.8	13.23	nuclear receptor subfamily 2 group E member 1
LOC125964845	LOC125964845	-6.99	2.54	37.18	metabotropic glutamate receptor 7-like
LOC101279746	NETO1	-6.29	2.4	20.64	neuropilin and tolloid like 1
LOC101274351	LOC101274351	-6.46	1.18	8	R3H domain-containing protein 1-like
LOC101276195	IL1RL1	-7.26	1.37	9.62	interleukin 1 receptor like 1
C20H16orf74	C20H16orf74	-3.81	3.15	31.11	chromosome 20 C16orf74 homolog
LOC101273814	CD28	-8.16	3.04	29.83	CD28 molecule
LOC101272757	SLFN14	-6.09	1.92	13.35	schlafen family member 14
LOC101278031	RAG2	-7.65	1.29	8.38	recombination activating 2
LOC101280024	SLC5A12	-6.58	1.94	13.78	solute carrier family 5 member 12
LOC101282314	ADCY10	-6.93	1.75	12.87	adenylate cyclase 10
LOC101289110	BARHL2	-7.02	0.96	8.16	BarH like homeobox 2
LOC101288437	RPH3A	-5.79	2.19	16.32	rabphilin 3A
LOC101272508	ADAM28	-6.03	2.23	18	ADAM metallopeptidase domain 28
LOC101287233	LOC101287233	-7.29	1.33	10.48	retinol dehydrogenase 16-like
LOC101278228	CAPN14	-7.36	1.55	11.5	calpain 14
LOC101281740	ZPLD1	-3.24	3.06	29.82	zona pellucida like domain containing 1
LOC105748589	LOC105748589	-7.76	1.31	9.63	transcription factor SPT20 homolog
LOC101282192	IGSF5	-8.45	1.81	15.57	immunoglobulin superfamily member 5
LOC101287327	RASGRF1	-6.14	1.7	12.93	Ras protein specific guanine nucleotide releasing factor 1
LOC101277869	AK7	-8.12	1.78	12.04	adenylate kinase 7
LOC101283134	GJB7	-6.46	1.45	12.84	gap junction protein beta 7
LOC101278382	STEAP1	-7.17	0.93	9.02	STEAP family member 1
LOC101278349	GLDC	-5.31	2.6	22.19	glycine decarboxylase
LOC101285573	LOC101285573	-7.73	1.4	12.67	rac GTPase-activating protein 1-like
LOC101280222	SLC17A7	-5.72	1.92	14.56	solute carrier family 17 member 7
LOC125963855	LOC125963855	-3.38	4.76	179.66	uncharacterized LOC125963855
LOC101280741	STMN4	-6.01	1.81	12.57	stathmin 4
LOC101278759	AKAP4	-8.07	1.55	11.3	A-kinase anchoring protein 4
LOC101286038	DDX4	-4.23	2.43	18.53	DEAD-box helicase 4
LOC101290142	C8A	-8.03	1.6	12.3	complement C8 alpha chain
LOC101280329	TUBB4A	-7.06	1.12	9.06	tubulin beta 4A class IVa
C20H19orf33	C20H19orf33	3.76	6.6	283.38	chromosome 20 C19orf33 homolog
LOC101279639	PAX5	-4.49	2.36	32.11	paired box 5
LOC101277341	KCNQ5	-6.32	1.75	12.42	potassium voltage-gated channel subfamily Q member 5
LOC101276329	UGT2A2	-6.15	1.19	7.62	UDP-glucuronosyltransferase 2A2
LOC101272486	ROS1	-6.07	3.13	30.89	ROS proto-oncogene 1, receptor tyrosine kinase
LOC101287317	NRG3	-4.65	2.88	26.7	neuregulin 3
LOC101285510	ZBED9	-4.35	2.44	18.88	zinc finger BED-type containing 9
LOC101270091	DGKB	-5.68	1.99	18.4	diacylglycerol kinase beta
LOC101281229	EVX2	-8.2	1.7	12.17	even-skipped homeobox 2
LOC101273758	CCDC30	-2.44	3.68	43.05	coiled-coil domain containing 30
LOC101280749	SLC17A4	-8.86	2.34	18.88	solute carrier family 17 member 4
LOC101270993	CD5L	-7.08	1.03	6.76	CD5 molecule like
LOC101274079	GRIA4	-6.28	2.59	21.99	glutamate ionotropic receptor AMPA type subunit 4
LOC101272700	LOC101272700	-7.05	1.32	9.16	retinol dehydrogenase 12
LOC101272029	SGCZ	-4.31	1.93	15.99	sarcoglycan zeta
LOC101288242	UNC5C	-3.42	2.48	17.11	unc-5 netrin receptor C
LOC101286729	LOC101286729	-7.27	1.89	14.52	peptidyl-prolyl cis-trans isomerase FKBP4-like
LOC101285288	CLSTN2	-4.27	3.21	39.87	calsyntenin 2
LOC101281857	EML5	-4.04	3.47	40.49	EMAP like 5
LOC101278748	LOC101278748	-7.66	1.54	10.87	60S ribosomal protein L36a-like
C17H8orf89	C17H8orf89	-5.79	1.75	12.34	chromosome 17 C8orf89 homolog
LOC101280714	SLC16A10	-4.13	2.36	19.56	solute carrier family 16 member 10
LOC101283960	TFF2	-7.71	1.26	8.93	trefoil factor 2
LOC101285154	LOC101285154	-6.22	1.85	13.1	serine/threonine-protein phosphatase 1 regulatory subunit 10-like
LOC101277355	IL31RA	-6.45	1.95	17.76	interleukin 31 receptor A
LOC101275973	DSCAM	-4.32	3.17	32.51	DS cell adhesion molecule
LOC101287276	PRPS1L1	-6.81	0.71	5.65	phosphoribosyl pyrophosphate synthetase 1 like 1
LOC101274112	EFHB	-6.72	1.38	11.88	EF-hand domain family member B
LOC101278238	GABRB3	-7.74	1.69	13.03	gamma-aminobutyric acid type A receptor subunit beta3
LOC117203426	LOC117203426	-5.05	1.88	14.56	chondroitin sulfate proteoglycan 4-like
LOC101286988	ADAM29	-7.16	0.69	6.35	ADAM metallopeptidase domain 29
LOC101289825	LOC101289825	-5.33	1.86	14.09	HAUS augmin-like complex subunit 6
LOC101282371	MAJIN	-5.8	1.95	14.21	membrane anchored junction protein
LOC101277782	LOC101277782	-4.8	2.83	26.53	pregnancy zone protein-like
LOC101269896	CACNB4	-3.86	2.79	22.12	calcium voltage-gated channel auxiliary subunit beta 4
LOC101272989	KCNC1	-5.91	1.96	13.52	potassium voltage-gated channel subfamily C member 1
LOC101282349	GALR1	-7.71	2.23	18.09	galanin receptor 1
LOC101280914	LOC101280914	-5.24	1.23	7.96	MORF4 family-associated protein 1-like
LOC117196623	LRRC53	-6.02	1.41	9.27	leucine rich repeat containing 53
LOC101284866	ADAM30	-5.74	3.12	63.85	ADAM metallopeptidase domain 30
LOC101272866	DAB1	-4.67	2.11	16.11	DAB adaptor protein 1
LOC101282866	KCNV1	-6.43	1.26	8.34	potassium voltage-gated channel modifier subfamily V member 1
LOC101286545	LRIT1	-7.17	2.8	30.78	leucine rich repeat, Ig-like and transmembrane domains 1
LOC125965266	LOC125965266	-7.65	5.18	341.31	uncharacterized LOC125965266
LOC101289906	WDR72	-4.79	2.04	14.8	WD repeat domain 72
LOC101276290	TERB1	-4.46	3.95	112.54	telomere repeat binding bouquet formation protein 1
LOC101271704	OTX2	-8.29	1.8	12.5	orthodenticle homeobox 2
LOC101287865	HABP2	-6.03	1.15	8.86	hyaluronan binding protein 2
LOC125960784	LOC125960784	-5.66	5.29	192.86	endogenous retrovirus group K member 5 Gag polyprotein-like
LOC101290159	PRDM7	-6.66	1.5	10.51	PR/SET domain 7
LOC101283632	RYR1	-4.15	4.92	101.93	ryanodine receptor 1
LOC101290204	F5	-4.7	2.7	24.68	coagulation factor V
LOC101281570	BEND4	-6.27	1.83	13.95	BEN domain containing 4
LOC101284284	PROM1	-7.27	1.98	19.09	prominin 1
LOC101278351	LOC101278351	-5.21	1.76	12.15	transcription elongation factor A protein-like 4
LOC101281799	ADAM2	-6.36	1.85	13.73	ADAM metallopeptidase domain 2
LOC101289643	GABRA1	-7.48	1.07	8.91	gamma-aminobutyric acid type A receptor subunit alpha1
LOC101286687	MT	3.69	9.14	1740.77	metallothionein-2
LOC101272192	KRT81	-6.06	1.18	7.77	keratin, type II cuticular Hb1
LOC101275077	SLC5A8	-5.89	1.88	16.36	solute carrier family 5 member 8
LOC101287407	LOC101287407	-7.36	1.36	9.93	cytochrome P450 1A2
LOC101286907	ERMN	-8.23	1.76	14.46	ermin
LOC101272223	KRT12	-6.12	1.5	10.73	keratin, type I cytoskeletal 12
LOC125960875	LOC125960875	-4.25	3.06	139.37	uncharacterized LOC125960875
LOC101283001	P2RX7	-4.98	2.45	17.29	purinergic receptor P2X 7
LOC101274854	LOC101274854	-7.64	1.2	8.64	gastrokine-3-like
LOC101275884	TMEM179	-7.03	0.99	9.29	transmembrane protein 179
LOC101279945	TCEAL2	-7.7	1.52	12.61	transcription elongation factor A like 2
LOC101280651	ACP7	-7.9	1.44	9.61	acid phosphatase 7, tartrate resistant (putative)
LOC101277671	SNAP91	-8.06	1.67	13.68	synaptosome associated protein 91
LOC101271398	PIGR	-7.69	1.35	9.25	polymeric immunoglobulin receptor
BNIP5	BNIP5	-7.32	1.66	11.64	BCL2 interacting protein 5
LOC101274806	LRRD1	-5.93	1.12	8.43	leucine rich repeats and death domain containing 1
LOC117203097	SERP2	-6.24	2.61	21.9	stress associated endoplasmic reticulum protein family member 2
LOC101287849	CTSG	-2.87	8.19	6007.86	LINE-1 retrotransposable element ORF2 protein
LOC101277008	NEFL	-6.95	1.32	8.58	neurofilament light chain
LOC101288960	NLRP8	-6.91	1.31	8.13	NLR family pyrin domain containing 8
LOC101270410	LHX5	-7.14	1.08	8.03	LIM homeobox 5
LOC101289887	DNAH3	-2.92	4.45	71.2	dynein axonemal heavy chain 3
LOC101275202	IL3	-7.34	3.29	35.33	interleukin-3
LOC101278874	RXFP2	-6.74	1.39	12.79	relaxin family peptide receptor 2
LOC101275879	LOC101275879	-7.52	1.13	8.32	piwi like RNA-mediated gene silencing 3
MYH1	MYH1	-7.34	2.37	21.41	myosin heavy chain 1
LOC101279455	LOC101279455	-6.22	1.5	10.48	tripartite motif-containing protein 64-like
LOC101284842	CD300A	-4.13	2.34	19.8	CMRF35-like molecule 8
LOC125964846	LOC125964846	-7.47	3.04	46.08	metabotropic glutamate receptor 7-like
LOC101286558	CX3CR1	-4.16	3.24	33.64	C-X3-C motif chemokine receptor 1
LOC101277792	RAG1	-6.85	1.62	12.38	recombination activating 1
LOC125963512	LOC125963512	-5.27	6.26	14128.44	uncharacterized LOC125963512
LOC101284147	NPAS3	-4.49	2	14.98	neuronal PAS domain protein 3
LOC101269858	DTHD1	-7.92	1.59	10.68	death domain containing 1
C8H11orf87	C8H11orf87	-7.18	2.6	21.56	chromosome 8 C11orf87 homolog
LOC101274087	FSTL5	-6.78	1.5	11.11	follistatin like 5
LOC101286361	ETNPPL	-5.42	1.44	11.35	ethanolamine-phosphate phospho-lyase
LOC101277247	SLC13A2	-6.18	1.87	19.51	solute carrier family 13 member 2
TAFA5	TAFA5	-4.67	3.8	77.74	TAFA chemokine like family member 5
LOC101282677	GK2	-6.74	0.63	7.33	glycerol kinase 2
LOC101275277	LOC101275277	-3.61	4.95	323.03	A-kinase anchor protein 17B
LOC101288386	GFRAL	-7.33	0.97	7.06	GDNF family receptor alpha like
LOC101289454	NDST3	-6.4	1.38	9.44	N-deacetylase and N-sulfotransferase 3
LOC101272099	HTR1F	-7.4	1	7.06	5-hydroxytryptamine receptor 1F
LOC101279843	CTNNA3	-3.69	3.1	24.5	catenin alpha-3
LOC101269192	CBLN1	-6.44	1.5	10.55	cerebellin 1 precursor
LOC101285603	TAS2R60	-6.99	1.44	11.01	taste receptor type 2 member 60
LOC101271102	SLC9C2	-3.58	3.45	39.75	solute carrier family 9 member C2 (putative)
LOC101269588	GUCY2F	-8.29	1.9	14.12	guanylate cyclase 2F, retinal
LOC101274732	OTOG	-4.1	2.99	31.06	otogelin
LOC101278204	SLC17A6	-7.35	1.34	9.44	solute carrier family 17 member 6
LOC101282667	AMER3	-7.68	1.7	12.61	APC membrane recruitment protein 3
LOC101273881	SLC24A2	-3.77	1.84	18.01	solute carrier family 24 member 2
LOC101269517	TRAM1L1	-4.36	1.95	15.32	translocation associated membrane protein 1 like 1
LOC101289446	NLRP5	-6.21	1.46	10.99	NLR family pyrin domain containing 5
LOC101275287	ADARB2	-7.3	1.55	10.58	adenosine deaminase RNA specific B2 (inactive)
LOC117198203	LOC117198203	-8.53	2.37	29.58	paraneoplastic antigen Ma6F-like
LOC101281463	PNLIPRP2	-7.8	1.48	9.79	pancreatic lipase-related protein 2
LOC101283968	TDRKH	-3.57	2.68	23.85	tudor and KH domain containing
LOC101285995	LOC101285995	-7.05	1.43	10.76	alpha-fetoprotein-like
LOC101281405	FRMPD1	-3.85	2.65	19.2	FERM and PDZ domain containing 1
LOC101281096	RGS8	-3.83	2.5	27.01	regulator of G protein signaling 8
LOC101269335	SKIDA1	-3.37	3.18	32.93	SKI/DACH domain containing 1
LOC101290244	IRS4	-7.1	2.16	19.58	insulin receptor substrate 4
LOC101279241	MAS1	-6.92	1.36	10.87	MAS1 proto-oncogene, G protein-coupled receptor
LOC101286567	EOMES	-7.59	1.64	11.59	eomesodermin
LOC101272393	RTL1	-7.1	1.15	9.81	retrotransposon Gag like 1
LOC105747899	LRTM1	-6.54	1.89	18.11	leucine rich repeats and transmembrane domains 1
LOC117199154	LOC117199154	-7.04	1.25	9.08	putative protein FRMPD2-like
LOC101275967	CDHR3	-3.67	3.01	28.45	cadherin related family member 3
LOC101283194	TMPRSS2	-5.98	1.31	10.2	transmembrane serine protease 2
LOC101285815	FMN2	-3.66	2.43	17.33	formin 2
LOC101290145	UNC13C	-4.51	3.19	30.78	unc-13 homolog C
LOC101271460	DAO	-6.47	2.25	17.77	D-amino acid oxidase
LOC101279751	KCNK10	-5.2	2.33	17.38	potassium two pore domain channel subfamily K member 10
LOC101273943	ITIH1	-5.92	2.07	15.59	inter-alpha-trypsin inhibitor heavy chain 1
LOC101290064	SRRM4	-4.58	2.6	23.52	serine/arginine repetitive matrix 4
LOC101288289	ITIH6	-6.21	1.64	12.29	inter-alpha-trypsin inhibitor heavy chain family member 6
LOC101284630	TRPM2	-4.78	2.73	23.61	transient receptor potential cation channel subfamily M member 2
LOC101288521	CPO	-6.88	1.36	12.19	carboxypeptidase O
ELAPOR1	ELAPOR1	-6.47	1.79	13.43	endosome-lysosome associated apoptosis and autophagy regulator 1
LOC117197688	LOC117197688	-6.76	2.66	22.74	BLACAT1 overlapping LEMD1 locus
LOC125961282	LOC125961282	-7.71	1.37	9.14	netrin receptor DCC-like
LOC101274903	GCM1	-7.71	1.23	9.3	glial cells missing transcription factor 1
LOC101275910	AGXT2	-6.73	1.47	10.14	alanine--glyoxylate aminotransferase 2
LOC101284871	TAAR1	-6.94	1.05	7.09	trace amine-associated receptor 1
LOC101286680	PDILT	-4.9	1.82	12.68	protein disulfide isomerase like, testis expressed
LOC101274633	AMPD1	-6.14	1.62	11.23	adenosine monophosphate deaminase 1
LOC101284480	SOST	-6.73	1.48	9.33	sclerostin
LOC101286120	NRSN2	-7.59	1.25	12.77	neurensin 2
LOC101275662	AGTR2	-7.36	0.94	7.3	angiotensin II receptor type 2
LOC101278631	AZU1	-7.85	1.72	11.13	azurocidin 1
LOC101271425	CLNK	-7.27	1.07	6.61	cytokine dependent hematopoietic cell linker
LOC101284396	HAL	-4.36	1.86	12.8	histidine ammonia-lyase
LOC101284189	BLK	-6.79	1.54	11.11	BLK proto-oncogene, Src family tyrosine kinase
LOC101278642	LOC101278642	-7.36	0.89	7.87	MORF4 family-associated protein 1-like
LOC125960851	LOC125960851	-3.45	3.45	42.86	uncharacterized LOC125960851
LOC101270929	MEPE	-6.38	1.6	15.13	matrix extracellular phosphoglycoprotein
LOC101278639	SYN3	-3.68	2.72	22.96	synapsin III
LOC101286949	GP2	-7.39	0.97	9.26	glycoprotein 2
LOC101280427	BMP3	-7.59	1.37	10.08	bone morphogenetic protein 3
LOC101274151	IGSF22	-5.18	2.3	19.49	immunoglobulin superfamily member 22
LOC125961791	LOC125961791	-4.87	3.55	57.19	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit-like
LOC101283131	LOC101283131	-7.92	1.54	10.47	hypoxia-inducible factor 1-alpha inhibitor-like
C13H2orf78	C13H2orf78	-5.52	2.34	27.62	chromosome 13 C2orf78 homolog
LOC101272035	BFSP2	-7.65	1.26	8.67	beaded filament structural protein 2
LOC101273696	CAMK4	-6.18	1.52	11.31	calcium/calmodulin dependent protein kinase IV
LOC101279596	CCDC196	-6.66	1	7.22	coiled-coil domain containing 196
LOC101273627	FOXI1	-8.12	1.71	10.96	forkhead box I1
LOC101276548	PTPRQ	-3.69	3.32	34.27	protein tyrosine phosphatase receptor type Q
LOC101282766	ITK	-6.31	1.11	7.31	IL2 inducible T cell kinase
LOC101277119	TRIML1	-7.04	1.69	10.95	tripartite motif family like 1
LOC101283296	EPHA7	-4.91	2.25	18.48	EPH receptor A7
PCARE	PCARE	-4.71	2.31	22.69	photoreceptor cilium actin regulator
CFAP299	CFAP299	-5.51	1.35	11.2	cilia and flagella associated protein 299
LOC101289803	OOEP	-5.18	2.98	26.85	oocyte expressed protein
LOC101287534	SPEF2	-5.74	2.4	20.77	sperm flagellar 2
LOC101273750	LY6D	3.75	7.16	430.44	lymphocyte antigen 6 family member D
LOC101282605	CHRND	-6.03	1.27	8.8	cholinergic receptor nicotinic delta subunit
LOC101275770	TAT	-6.69	1.38	8.4	tyrosine aminotransferase
LOC101270755	TIMP4	2.07	4.85	85.77	TIMP metallopeptidase inhibitor 4
LOC101274237	ADAD1	-6.39	0.84	7.8	adenosine deaminase domain containing 1
LOC101276647	HECW1	-5.18	1.7	13.17	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1
LOC101288594	RIMBP3B	-6.28	1.14	7.68	RIMS-binding protein 3C
LOC125962980	LOC125962980	-6.35	1.46	12.78	ankyrin repeat and SOCS box containing 12
LOC101273429	BVES	-4.25	2.2	15.98	blood vessel epicardial substance
LOC101279274	SLC18A2	-5.78	1.5	10.81	solute carrier family 18 member A2
LOC101289728	LOC101289728	-7.34	1	8.17	inosine-5'-monophosphate dehydrogenase 2-like
LOC101278815	PADI2	-6.21	1.71	14.47	peptidyl arginine deiminase 2
LOC101288907	TAS2R5	-4.65	1.36	9.27	taste receptor type 2 member 5
LOC101278740	TACR1	-6.82	1.51	11.02	tachykinin receptor 1
LOC101289033	MDH1B	-6.21	1.29	9.45	malate dehydrogenase 1B
C2H10orf67	C2H10orf67	-7.63	1.6	10.92	chromosome 2 C10orf67 homolog
LOC101279897	OTOGL	-4.87	3.48	38.33	otogelin like
LOC101281486	IL21R	-4.47	2.68	28.55	interleukin 21 receptor
LOC125960843	LOC125960843	-8.26	4.74	113.57	uncharacterized LOC125960843
LOC101271942	PAK5	-7.66	1.19	9.72	p21 (RAC1) activated kinase 5
LOC101277296	GPR174	-5.07	2.8	25.74	G protein-coupled receptor 174
LOC125961024	LOC125961024	-4.68	2.07	17.13	NOP protein chaperone 1-like
LOC101283540	LOC101283540	-6.78	1.09	8.09	aromatase
LOC101285779	CCDC185	-8.06	1.5	11.38	coiled-coil domain containing 185
LOC101285557	SLC35F3	-7.7	1.2	9.24	solute carrier family 35 member F3
LOC101286934	CELF4	-6	1.49	12.05	CUGBP Elav-like family member 4
LOC101269789	TEKT5	-7.34	0.96	7.24	tektin 5
LOC101275185	SLC6A11	-4.55	2.46	18.72	solute carrier family 6 member 11
LOC101281387	PCDH10	-4.72	2.05	14.98	protocadherin 10
LOC101285869	PRDM14	-7.58	1.31	8.65	PR/SET domain 14
LOC105748497	LOC105748497	-3.65	2	14	uncharacterized LOC105748497
LOC125963897	LOC125963897	-8.35	2.01	14.94	putative POM121-like protein 1
LOC101272077	PPEF1	-6.1	1.16	8.27	protein phosphatase with EF-hand domain 1
LOC101289141	ZCCHC18	-7.43	1.17	8.66	zinc finger CCHC-type containing 18
LOC101284361	HMGCS2	-7.53	1.22	8.12	3-hydroxy-3-methylglutaryl-CoA synthase 2
LOC101277325	IL17F	-4.45	3.24	32.99	interleukin 17F
LOC101288658	XKR6	-6.84	1.2	8.17	XK-related protein 6
LOC101269363	IL36B	-6.68	2.4	18.57	interleukin 36 beta
LOC101290227	LAMP3	-5.65	1.7	11.58	lysosomal associated membrane protein 3
LOC101275648	SLC1A2	-3.06	3.18	35.97	solute carrier family 1 member 2
LOC101270332	FCMR	-6.28	1.44	10.93	Fc mu receptor
LOC101284077	TDRD5	-3.67	2.32	15.71	tudor domain containing 5
LOC101275061	GRIK3	-3.86	3.29	29.7	glutamate ionotropic receptor kainate type subunit 3
LOC101277958	PCLO	-3.78	4.25	61.89	protein piccolo
LOC101282894	ZNF488	-6.4	2.35	18.5	zinc finger protein 488
LOC101279126	GABRG1	-3.71	1.81	12.7	gamma-aminobutyric acid type A receptor subunit gamma1
LOC101280409	CNTN6	-6.29	2.06	59.26	contactin 6
LOC101270990	LOC101270990	-5.8	1.14	7.87	olfactory receptor 10J3-like
LOC101274895	CD244	-7.55	0.99	8.91	CD244 molecule
LOC101270367	TFAP2D	-7.87	1.52	10.08	transcription factor AP-2 delta
LOC101289024	GDAP1	-4.85	1.89	13.73	ganglioside induced differentiation associated protein 1
LOC101281744	DSCAML1	-5.86	2.27	19.17	DS cell adhesion molecule like 1
LOC101288835	CCDC116	-7.45	1.12	7.76	coiled-coil domain containing 116
LOC101282006	KCNA6	-4.13	3.3	41.39	potassium voltage-gated channel subfamily A member 6
LOC101285711	APOBEC4	-5.73	2.14	15.67	apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4
LOC101270748	BCAS1	-4.99	3.57	33.56	brain enriched myelin associated protein 1
LOC101283564	SYT4	-8.1	1.59	10.93	synaptotagmin 4
LOC105748909	ZSCAN23	-6.34	2.44	22.63	zinc finger and SCAN domain containing 23
LOC101289768	MS4A2	-5.65	2.19	16.89	membrane spanning 4-domains A2
LOC101270793	ABCG4	-5.5	2.02	15.07	ATP binding cassette subfamily G member 4
LOC101280406	HOXC12	-5.15	2.8	24.77	homeobox C12
LOC101289002	NKAIN3	-6.77	1.53	11.2	sodium/potassium transporting ATPase interacting 3
LOC101284770	GPR31	-6.99	1.05	7.71	G protein-coupled receptor 31
LOC101275057	IL7R	-7.4	1.01	7.27	interleukin 7 receptor
LOC101288273	WT1	-7.24	0.82	6.04	WT1 transcription factor
LOC101272403	POLR3G	-4.21	3.19	31.52	RNA polymerase III subunit G
LOC101283191	OLIG2	-7.93	1.48	9.92	oligodendrocyte transcription factor 2
LOC101281400	ABCC6	-6.32	2.49	25.71	ATP binding cassette subfamily C member 6
LOC101275794	MYLK4	-4.38	1.75	15.75	myosin light chain kinase family member 4
LOC101275885	CSMD1	-4.74	3.48	42.94	CUB and Sushi multiple domains 1
LOC101277474	FGB	-6.16	1.08	7.43	fibrinogen beta chain
GARIN3	GARIN3	-5.96	1.02	6.84	golgi associated RAB2B interactor family member 3
LOC125960760	LOC125960760	-2.95	5.9	282.38	uncharacterized LOC125960760
LOC101289903	C8B	-5.76	1.61	10.79	complement C8 beta chain
LOC101275424	CD33	-5.44	1.99	14.9	myeloid cell surface antigen CD33-like
SHOC1	SHOC1	-5.95	1.57	16.81	shortage in chiasmata 1
PPDPFL	PPDPFL	-7.73	2.26	16.07	pancreatic progenitor cell differentiation and proliferation factor like
LOC101286135	CDH9	-6.56	0.91	6.94	cadherin 9
LOC105748533	LOC105748533	-4.34	1.7	16.92	non-histone chromosomal protein HMG-14-like
LOC101269441	COL22A1	-3.8	2.8	27.73	collagen type XXII alpha 1 chain
LOC101276875	SLCO6A1	-4.48	1.55	9.6	solute carrier organic anion transporter family member 6A1
LOC101278551	GABRA2	-6.81	1.33	10.9	gamma-aminobutyric acid type A receptor subunit alpha2
